Date,Rater,Correct_Answer_3_Label,Correct_Answer_5_Label,Rater_Answer_3_Label,Rater_Answer_5_Label,Label_Agreement_3,Label_Agreement_5,TaskID
10/12/05,D,High,Bad,High,Great,yes,no,61,
10/7/05,E,High,Okay,Average,Intermediate,no,no,62,
10/6/05,C,Low,Bad,Low,Okay,yes,no,63,
10/17/05,D,Low,Okay,Average,Bad,no,no,64,
10/14/05,D,High,Exceptional,Low,Okay,no,no,65,
10/10/05,E,Average,Okay,Low,Great,no,no,66,
10/22/05,B,Low,Great,Low,Great,yes,yes,67,
10/30/05,E,High,Okay,Average,Bad,no,no,68,
10/20/05,C,Average,Exceptional,Low,Great,no,no,69,
10/18/05,E,Low,Intermediate,High,Great,no,no,70,
10/27/05,D,Average,Intermediate,Average,Exceptional,yes,no,71,
10/17/05,B,High,Okay,High,Intermediate,yes,no,72,
10/11/05,D,Average,Exceptional,Average,Great,yes,no,73,
10/23/05,B,High,Great,Low,Okay,no,no,74,
10/16/05,A,High,Intermediate,High,Okay,yes,no,75,
10/28/05,A,High,Great,Average,Exceptional,no,no,76,
10/18/05,E,Average,Okay,High,Great,no,no,77,
10/9/05,E,Low,Bad,Low,Exceptional,yes,no,78,
10/12/05,C,Low,Intermediate,High,Okay,no,no,79,
10/19/05,E,Average,Okay,High,Exceptional,no,no,80,
10/18/05,C,Low,Exceptional,Low,Exceptional,yes,yes,81,
10/30/05,A,High,Intermediate,Low,Exceptional,no,no,82,
10/19/05,A,High,Great,Average,Okay,no,no,83,
10/29/05,A,Average,Intermediate,Average,Intermediate,yes,yes,84,
10/26/05,B,Average,Okay,High,Bad,no,no,85,
10/5/05,A,Low,Intermediate,Average,Intermediate,no,yes,86,
10/29/05,E,Low,Bad,High,Intermediate,no,no,87,
10/23/05,A,High,Great,Low,Okay,no,no,88,
10/27/05,B,Low,Bad,High,Intermediate,no,no,89,
10/2/05,A,High,Bad,High,Intermediate,yes,no,90,
10/20/05,A,High,Okay,High,Okay,yes,yes,91,
10/7/05,D,High,Exceptional,High,Bad,yes,no,92,
10/18/05,D,Low,Great,Low,Intermediate,yes,no,93,
10/21/05,C,High,Great,Low,Great,no,yes,94,
10/2/05,B,High,Okay,Average,Exceptional,no,no,95,
10/8/05,A,Low,Bad,High,Okay,no,no,96,
10/29/05,A,High,Exceptional,High,Bad,yes,no,97,
10/15/05,A,Average,Bad,High,Okay,no,no,98,
10/21/05,E,Low,Exceptional,High,Exceptional,no,yes,99,
10/5/05,D,Low,Great,Low,Bad,yes,no,100,
10/21/05,B,Average,Exceptional,High,Okay,no,no,101,
10/25/05,B,Average,Intermediate,Average,Intermediate,yes,yes,102,
10/20/05,E,Low,Okay,Low,Bad,yes,no,103,
10/22/05,D,Low,Exceptional,High,Exceptional,no,yes,104,
10/9/05,B,Low,Exceptional,Average,Great,no,no,105,
10/13/05,B,Average,Exceptional,High,Great,no,no,106,
10/23/05,B,Average,Exceptional,Average,Okay,yes,no,107,
10/30/05,C,Average,Okay,Average,Bad,yes,no,108,
10/28/05,E,Low,Okay,High,Intermediate,no,no,109,
10/10/05,C,Low,Bad,Average,Exceptional,no,no,110,
10/4/05,A,Low,Great,Low,Intermediate,yes,no,111,
10/29/05,E,Low,Great,Low,Okay,yes,no,112,
10/1/05,A,Low,Exceptional,High,Bad,no,no,113,
10/3/05,B,Low,Bad,Low,Bad,yes,yes,114,
10/21/05,C,High,Great,High,Okay,yes,no,115,
10/17/05,B,High,Great,High,Great,yes,yes,116,
10/7/05,B,High,Great,Average,Great,no,yes,117,
10/12/05,E,Average,Intermediate,Average,Exceptional,yes,no,118,
10/21/05,B,High,Bad,Average,Exceptional,no,no,119,
10/7/05,A,High,Exceptional,Low,Great,no,no,120,
10/1/05,B,Average,Exceptional,High,Exceptional,no,yes,121,
10/27/05,C,Low,Exceptional,Average,Exceptional,no,yes,122,
10/14/05,C,Average,Okay,Low,Great,no,no,123,
10/27/05,A,Low,Bad,Low,Okay,yes,no,124,
10/27/05,C,High,Exceptional,Low,Okay,no,no,125,
10/25/05,A,Low,Intermediate,High,Exceptional,no,no,126,
10/27/05,D,Low,Okay,Average,Intermediate,no,no,127,
10/20/05,B,Low,Exceptional,High,Okay,no,no,128,
10/26/05,B,Low,Exceptional,High,Exceptional,no,yes,129,
10/10/05,D,Low,Great,High,Intermediate,no,no,130,
10/9/05,A,High,Intermediate,Average,Bad,no,no,131,
10/21/05,C,Low,Intermediate,High,Bad,no,no,132,
10/26/05,D,Average,Great,Average,Bad,yes,no,133,
10/20/05,C,High,Exceptional,Average,Okay,no,no,134,
10/7/05,E,High,Great,High,Exceptional,yes,no,135,
10/7/05,B,High,Bad,High,Okay,yes,no,136,
10/16/05,D,High,Exceptional,Low,Great,no,no,137,
10/27/05,A,Average,Intermediate,Average,Okay,yes,no,138,
10/13/05,C,Average,Exceptional,Low,Intermediate,no,no,139,
10/12/05,A,Low,Okay,Average,Okay,no,yes,140,
10/14/05,B,Average,Exceptional,High,Exceptional,no,yes,141,
10/27/05,A,High,Bad,High,Great,yes,no,142,
10/2/05,B,Average,Great,High,Bad,no,no,143,
10/27/05,D,Average,Intermediate,Low,Great,no,no,144,
10/19/05,A,Average,Bad,High,Exceptional,no,no,145,
10/30/05,C,High,Okay,High,Okay,yes,yes,146,
10/26/05,C,Low,Exceptional,High,Exceptional,no,yes,147,
10/25/05,E,High,Exceptional,Low,Exceptional,no,yes,148,
10/13/05,C,Average,Okay,High,Intermediate,no,no,149,
10/1/05,D,High,Okay,Low,Great,no,no,150,
10/29/05,B,Low,Bad,High,Exceptional,no,no,151,
10/18/05,E,Average,Okay,Low,Great,no,no,152,
10/2/05,A,Low,Intermediate,Low,Exceptional,yes,no,153,
10/22/05,B,Average,Okay,High,Exceptional,no,no,154,
10/23/05,B,High,Okay,Average,Okay,no,yes,155,
10/23/05,B,Low,Great,Average,Great,no,yes,156,
10/7/05,B,High,Intermediate,Average,Intermediate,no,yes,157,
10/7/05,E,Average,Okay,Low,Intermediate,no,no,158,
10/1/05,B,Average,Okay,High,Intermediate,no,no,159,
10/1/05,D,High,Intermediate,High,Intermediate,yes,yes,160,
10/7/05,B,High,Bad,High,Exceptional,yes,no,161,
10/13/05,C,High,Intermediate,High,Great,yes,no,162,
10/25/05,D,High,Bad,Average,Intermediate,no,no,163,
10/5/05,E,High,Exceptional,Low,Bad,no,no,164,
10/10/05,E,Low,Bad,High,Intermediate,no,no,165,
10/15/05,D,High,Great,High,Intermediate,yes,no,166,
10/8/05,E,High,Bad,High,Okay,yes,no,167,
10/1/05,C,Low,Great,Low,Okay,yes,no,168,
10/3/05,C,Average,Intermediate,Average,Bad,yes,no,169,
10/8/05,E,High,Bad,High,Okay,yes,no,170,
10/25/05,C,High,Great,High,Intermediate,yes,no,171,
10/4/05,B,High,Okay,Average,Bad,no,no,172,
10/27/05,B,Low,Bad,Low,Okay,yes,no,173,
10/29/05,E,Low,Okay,Average,Exceptional,no,no,174,
10/27/05,A,High,Okay,Low,Exceptional,no,no,175,
10/14/05,A,High,Great,High,Intermediate,yes,no,176,
10/15/05,A,Average,Exceptional,Low,Intermediate,no,no,177,
10/25/05,A,Low,Bad,Low,Intermediate,yes,no,178,
10/27/05,B,Low,Exceptional,Average,Bad,no,no,179,
10/14/05,D,High,Bad,High,Bad,yes,yes,180,
10/5/05,E,High,Bad,Low,Bad,no,yes,181,
10/13/05,C,High,Bad,Low,Bad,no,yes,182,
10/20/05,E,High,Bad,Low,Exceptional,no,no,183,
10/21/05,B,Low,Intermediate,Average,Exceptional,no,no,184,
10/26/05,C,Low,Exceptional,High,Great,no,no,185,
10/13/05,B,High,Bad,Low,Okay,no,no,186,
10/17/05,E,Average,Exceptional,Low,Great,no,no,187,
10/22/05,A,Average,Okay,Low,Exceptional,no,no,188,
10/18/05,A,Low,Great,Low,Exceptional,yes,no,189,
10/9/05,E,Average,Exceptional,Average,Great,yes,no,190,
10/7/05,A,High,Great,Average,Great,no,yes,191,
10/20/05,C,Low,Great,High,Intermediate,no,no,192,
10/27/05,C,High,Bad,High,Intermediate,yes,no,193,
10/2/05,C,Average,Exceptional,Low,Intermediate,no,no,194,
10/13/05,D,Average,Exceptional,Average,Okay,yes,no,195,
10/21/05,E,Low,Okay,High,Exceptional,no,no,196,
10/18/05,E,Low,Intermediate,Average,Okay,no,no,197,
10/24/05,D,Low,Exceptional,Low,Okay,yes,no,198,
10/25/05,E,Average,Intermediate,Low,Intermediate,no,yes,199,
10/29/05,A,High,Intermediate,High,Exceptional,yes,no,200,
10/19/05,C,Average,Great,Low,Great,no,yes,201,
10/22/05,D,High,Exceptional,Average,Great,no,no,202,
10/2/05,C,Average,Bad,Low,Intermediate,no,no,203,
10/28/05,E,High,Bad,Low,Intermediate,no,no,204,
10/6/05,B,Low,Bad,High,Great,no,no,205,
10/30/05,C,High,Great,Average,Okay,no,no,206,
10/20/05,E,Average,Okay,Low,Great,no,no,207,
10/6/05,B,Low,Okay,Average,Exceptional,no,no,208,
10/8/05,B,Low,Okay,Low,Exceptional,yes,no,209,
10/10/05,C,High,Okay,Low,Okay,no,yes,210,
10/14/05,A,Low,Intermediate,Average,Intermediate,no,yes,211,
10/6/05,D,Average,Intermediate,High,Great,no,no,212,
10/22/05,E,Average,Okay,High,Bad,no,no,213,
10/22/05,A,Average,Exceptional,High,Bad,no,no,214,
10/15/05,B,High,Great,Average,Okay,no,no,215,
10/8/05,E,High,Okay,High,Bad,yes,no,216,
10/15/05,A,Low,Okay,Low,Okay,yes,yes,217,
10/29/05,E,Low,Bad,Low,Bad,yes,yes,218,
10/30/05,A,Low,Okay,Average,Okay,no,yes,219,
10/21/05,D,Average,Intermediate,Average,Intermediate,yes,yes,220,
10/1/05,E,High,Exceptional,Average,Exceptional,no,yes,221,
10/22/05,B,High,Bad,Low,Bad,no,yes,222,
10/15/05,C,Low,Exceptional,Low,Intermediate,yes,no,223,
10/27/05,D,Average,Intermediate,Average,Bad,yes,no,224,
10/25/05,C,Average,Bad,Average,Intermediate,yes,no,225,
10/23/05,C,Low,Intermediate,Low,Okay,yes,no,226,
10/27/05,B,Average,Okay,Average,Great,yes,no,227,
10/27/05,B,Low,Okay,Average,Bad,no,no,228,
10/5/05,D,High,Great,Average,Exceptional,no,no,229,
10/15/05,B,High,Exceptional,Low,Great,no,no,230,
10/1/05,C,High,Okay,High,Bad,yes,no,231,
10/26/05,E,Average,Intermediate,Average,Exceptional,yes,no,232,
10/18/05,A,High,Exceptional,Low,Intermediate,no,no,233,
10/30/05,D,Average,Exceptional,Low,Exceptional,no,yes,234,
10/29/05,E,Low,Exceptional,Low,Bad,yes,no,235,
10/26/05,A,High,Okay,Average,Bad,no,no,236,
10/23/05,B,Average,Okay,Average,Great,yes,no,237,
10/17/05,C,Low,Okay,Average,Okay,no,yes,238,
10/2/05,B,Low,Okay,High,Okay,no,yes,239,
10/5/05,A,Average,Intermediate,Low,Okay,no,no,240,
10/24/05,B,High,Bad,Low,Intermediate,no,no,241,
10/21/05,A,High,Okay,Average,Intermediate,no,no,242,
10/29/05,D,Average,Intermediate,Low,Okay,no,no,243,
10/20/05,C,High,Great,Average,Intermediate,no,no,244,
10/24/05,A,High,Exceptional,Low,Great,no,no,245,
10/16/05,C,Average,Okay,Average,Bad,yes,no,246,
10/18/05,A,High,Okay,Low,Bad,no,no,247,
10/10/05,A,Low,Exceptional,Average,Great,no,no,248,
10/10/05,E,Low,Okay,Average,Intermediate,no,no,249,
10/14/05,D,High,Okay,Low,Okay,no,yes,250,
10/2/05,E,Average,Bad,Low,Great,no,no,251,
10/17/05,D,Low,Intermediate,High,Okay,no,no,252,
10/10/05,B,Low,Exceptional,High,Great,no,no,253,
10/6/05,C,Average,Exceptional,Low,Intermediate,no,no,254,
10/8/05,D,Low,Exceptional,Average,Intermediate,no,no,255,
10/2/05,D,High,Okay,Low,Exceptional,no,no,256,
10/23/05,C,High,Exceptional,Low,Exceptional,no,yes,257,
10/24/05,E,Low,Intermediate,Low,Bad,yes,no,258,
10/26/05,D,Average,Great,Average,Intermediate,yes,no,259,
10/17/05,B,High,Bad,Low,Great,no,no,260,
10/27/05,C,High,Intermediate,Low,Okay,no,no,261,
10/6/05,E,High,Great,Low,Intermediate,no,no,262,
10/22/05,E,Average,Great,High,Intermediate,no,no,263,
10/11/05,A,Low,Great,Low,Okay,yes,no,264,
10/26/05,B,High,Exceptional,Average,Great,no,no,265,
10/19/05,D,High,Exceptional,Low,Okay,no,no,266,
10/11/05,E,Average,Intermediate,Average,Okay,yes,no,267,
10/13/05,C,Average,Okay,Average,Intermediate,yes,no,268,
10/16/05,A,High,Bad,High,Great,yes,no,269,
10/8/05,C,Average,Exceptional,Low,Bad,no,no,270,
10/13/05,A,High,Exceptional,High,Great,yes,no,271,
10/7/05,C,Low,Great,Low,Great,yes,yes,272,
10/5/05,E,High,Bad,Average,Intermediate,no,no,273,
10/28/05,C,Average,Bad,Low,Great,no,no,274,
10/20/05,A,Average,Great,High,Great,no,yes,275,
10/13/05,A,Average,Okay,Average,Bad,yes,no,276,
10/27/05,D,Low,Exceptional,High,Okay,no,no,277,
10/28/05,B,High,Great,Average,Great,no,yes,278,
10/12/05,B,Average,Bad,High,Okay,no,no,279,
10/13/05,D,Low,Exceptional,Low,Okay,yes,no,280,
10/14/05,E,High,Bad,Low,Okay,no,no,281,
10/11/05,A,High,Great,High,Exceptional,yes,no,282,
10/26/05,B,High,Okay,Average,Bad,no,no,283,
10/20/05,C,Low,Intermediate,Average,Okay,no,no,284,
10/14/05,E,Average,Great,Low,Intermediate,no,no,285,
10/29/05,A,Low,Intermediate,Low,Bad,yes,no,286,
10/11/05,D,Low,Great,Average,Exceptional,no,no,287,
10/10/05,A,Average,Okay,Low,Great,no,no,288,
10/5/05,C,High,Bad,High,Exceptional,yes,no,289,
10/26/05,E,High,Exceptional,High,Intermediate,yes,no,290,
10/1/05,B,Average,Bad,Average,Exceptional,yes,no,291,
10/24/05,E,High,Bad,Low,Intermediate,no,no,292,
10/24/05,D,Average,Intermediate,Average,Okay,yes,no,293,
10/11/05,E,High,Great,Average,Great,no,yes,294,
10/14/05,C,Low,Exceptional,High,Great,no,no,295,
10/24/05,D,High,Great,High,Intermediate,yes,no,296,
10/27/05,A,Low,Bad,Average,Bad,no,yes,297,
10/9/05,B,Average,Bad,Low,Bad,no,yes,298,
10/23/05,E,High,Intermediate,Low,Great,no,no,299,
10/18/05,C,Low,Bad,Average,Exceptional,no,no,300,
10/5/05,A,Low,Exceptional,Low,Intermediate,yes,no,301,
10/22/05,C,Average,Bad,Average,Okay,yes,no,302,
10/16/05,D,High,Bad,Average,Exceptional,no,no,303,
10/20/05,D,High,Exceptional,High,Bad,yes,no,304,
10/2/05,D,Average,Exceptional,High,Intermediate,no,no,305,
10/8/05,E,Average,Okay,Average,Great,yes,no,306,
10/6/05,B,Average,Intermediate,Average,Great,yes,no,307,
10/13/05,C,High,Great,Low,Great,no,yes,308,
10/5/05,E,Average,Bad,Average,Bad,yes,yes,309,
10/1/05,D,Average,Bad,Low,Bad,no,yes,310,
10/19/05,B,High,Bad,Average,Bad,no,yes,311,
10/20/05,D,Average,Intermediate,Low,Exceptional,no,no,312,
10/22/05,A,Average,Okay,Low,Great,no,no,313,
10/23/05,C,High,Okay,High,Exceptional,yes,no,314,
10/26/05,B,Low,Okay,High,Intermediate,no,no,315,
10/25/05,C,Average,Intermediate,Low,Intermediate,no,yes,316,
10/8/05,A,High,Exceptional,High,Okay,yes,no,317,
10/27/05,D,High,Bad,Low,Bad,no,yes,318,
10/4/05,A,Low,Great,Average,Exceptional,no,no,319,
10/7/05,E,High,Okay,Low,Great,no,no,320,
10/7/05,C,Average,Okay,Average,Great,yes,no,321,
10/16/05,E,High,Okay,Average,Great,no,no,322,
10/2/05,A,Low,Intermediate,High,Okay,no,no,323,
10/14/05,E,High,Intermediate,High,Great,yes,no,324,
10/18/05,C,High,Exceptional,High,Okay,yes,no,325,
10/23/05,A,High,Okay,Average,Exceptional,no,no,326,
10/2/05,E,Average,Intermediate,High,Bad,no,no,327,
10/17/05,D,Average,Great,Average,Okay,yes,no,328,
10/30/05,C,High,Okay,High,Bad,yes,no,329,
10/23/05,E,High,Bad,Average,Intermediate,no,no,330,
10/18/05,C,High,Exceptional,Average,Okay,no,no,331,
10/2/05,D,High,Intermediate,High,Great,yes,no,332,
10/21/05,D,Low,Exceptional,Low,Exceptional,yes,yes,333,
10/29/05,A,Average,Great,Average,Great,yes,yes,334,
10/15/05,A,High,Okay,Low,Bad,no,no,335,
10/14/05,A,High,Exceptional,Low,Great,no,no,336,
10/10/05,D,Low,Okay,Low,Okay,yes,yes,337,
10/8/05,A,High,Bad,Low,Exceptional,no,no,338,
10/20/05,B,Average,Great,Average,Okay,yes,no,339,
10/15/05,A,High,Exceptional,Low,Bad,no,no,340,
10/21/05,E,High,Intermediate,Low,Great,no,no,341,
10/4/05,B,Low,Intermediate,Average,Okay,no,no,342,
10/21/05,A,High,Intermediate,High,Intermediate,yes,yes,343,
10/23/05,C,High,Exceptional,High,Bad,yes,no,344,
10/26/05,A,Average,Great,Low,Intermediate,no,no,345,
10/7/05,B,Average,Intermediate,High,Intermediate,no,yes,346,
10/27/05,C,Low,Exceptional,Low,Great,yes,no,347,
10/22/05,C,Low,Bad,Average,Exceptional,no,no,348,
10/12/05,C,Low,Intermediate,High,Okay,no,no,349,
10/8/05,C,High,Great,High,Intermediate,yes,no,350,
10/23/05,A,Low,Great,Low,Exceptional,yes,no,351,
10/22/05,A,Average,Great,Low,Okay,no,no,352,
10/20/05,D,High,Exceptional,Average,Bad,no,no,353,
10/15/05,B,Average,Exceptional,Low,Exceptional,no,yes,354,
10/24/05,A,High,Bad,Average,Intermediate,no,no,355,
10/26/05,A,Low,Bad,Low,Intermediate,yes,no,356,
10/28/05,A,Average,Exceptional,Average,Bad,yes,no,357,
10/2/05,E,High,Bad,High,Bad,yes,yes,358,
10/8/05,D,Low,Exceptional,Low,Exceptional,yes,yes,359,
10/23/05,E,Average,Intermediate,Average,Intermediate,yes,yes,360,
10/29/05,A,High,Okay,Average,Great,no,no,361,
10/19/05,A,High,Exceptional,Average,Exceptional,no,yes,362,
10/17/05,E,Low,Intermediate,High,Bad,no,no,363,
10/6/05,B,Low,Bad,Average,Exceptional,no,no,364,
10/24/05,D,Low,Great,Low,Great,yes,yes,365,
10/21/05,B,High,Okay,Average,Intermediate,no,no,366,
10/11/05,E,Average,Okay,Average,Great,yes,no,367,
10/25/05,D,Low,Bad,High,Great,no,no,368,
10/30/05,B,Average,Great,Low,Exceptional,no,no,369,
10/24/05,C,Low,Bad,High,Okay,no,no,370,
10/15/05,D,Average,Bad,Average,Okay,yes,no,371,
10/19/05,C,Low,Exceptional,Average,Bad,no,no,372,
10/11/05,C,Low,Intermediate,High,Exceptional,no,no,373,
10/26/05,E,Average,Intermediate,Low,Okay,no,no,374,
10/23/05,B,Average,Intermediate,Low,Bad,no,no,375,
10/29/05,A,Average,Bad,Average,Exceptional,yes,no,376,
10/22/05,B,High,Great,High,Exceptional,yes,no,377,
10/14/05,B,Low,Bad,Average,Great,no,no,378,
10/18/05,E,Low,Okay,Average,Bad,no,no,379,
10/23/05,A,High,Exceptional,High,Okay,yes,no,380,
10/9/05,C,Average,Bad,Low,Great,no,no,381,
10/15/05,A,Average,Bad,Average,Intermediate,yes,no,382,
10/4/05,B,Average,Intermediate,High,Okay,no,no,383,
10/28/05,A,High,Intermediate,High,Exceptional,yes,no,384,
10/19/05,D,Average,Okay,Average,Great,yes,no,385,
10/12/05,D,Low,Great,Low,Intermediate,yes,no,386,
10/17/05,A,Average,Intermediate,Low,Okay,no,no,387,
10/23/05,A,High,Okay,High,Intermediate,yes,no,388,
10/22/05,A,Low,Bad,High,Bad,no,yes,389,
10/1/05,C,Low,Intermediate,High,Great,no,no,390,
10/4/05,D,Low,Exceptional,Average,Exceptional,no,yes,391,
10/23/05,C,High,Great,Low,Great,no,yes,392,
10/11/05,D,Low,Great,Average,Exceptional,no,no,393,
10/23/05,B,Average,Okay,High,Okay,no,yes,394,
10/13/05,B,High,Okay,Average,Bad,no,no,395,
10/21/05,B,High,Intermediate,High,Okay,yes,no,396,
10/28/05,B,Average,Bad,High,Exceptional,no,no,397,
10/10/05,C,Average,Intermediate,Average,Bad,yes,no,398,
10/24/05,E,Average,Okay,Average,Bad,yes,no,399,
10/16/05,B,Low,Great,Average,Intermediate,no,no,400,
10/10/05,C,Average,Okay,Average,Exceptional,yes,no,401,
10/17/05,B,High,Exceptional,Low,Exceptional,no,yes,402,
10/16/05,C,High,Bad,Low,Bad,no,yes,403,
10/18/05,C,High,Intermediate,High,Exceptional,yes,no,404,
10/22/05,C,Low,Great,High,Exceptional,no,no,405,
10/29/05,E,High,Okay,High,Okay,yes,yes,406,
10/9/05,E,High,Exceptional,Average,Bad,no,no,407,
10/20/05,C,Average,Bad,Low,Great,no,no,408,
10/17/05,B,High,Great,Low,Intermediate,no,no,409,
10/14/05,E,Average,Exceptional,Average,Great,yes,no,410,
10/27/05,B,High,Okay,High,Intermediate,yes,no,411,
10/10/05,E,Low,Okay,Low,Exceptional,yes,no,412,
10/4/05,C,Low,Great,Low,Great,yes,yes,413,
10/6/05,A,Low,Bad,High,Great,no,no,414,
10/17/05,C,Average,Intermediate,Low,Exceptional,no,no,415,
10/2/05,E,Average,Bad,High,Exceptional,no,no,416,
10/13/05,B,Low,Great,Average,Intermediate,no,no,417,
10/30/05,D,High,Great,Average,Okay,no,no,418,
10/7/05,D,Low,Intermediate,Average,Okay,no,no,419,
10/13/05,A,Average,Great,High,Great,no,yes,420,
10/11/05,E,High,Bad,Low,Exceptional,no,no,421,
10/6/05,A,High,Okay,High,Exceptional,yes,no,422,
10/12/05,A,Low,Bad,High,Great,no,no,423,
10/22/05,D,High,Okay,Low,Okay,no,yes,424,
10/8/05,D,Low,Intermediate,High,Intermediate,no,yes,425,
10/2/05,B,Average,Intermediate,Average,Okay,yes,no,426,
10/14/05,E,Low,Intermediate,Low,Great,yes,no,427,
10/5/05,D,Low,Bad,High,Bad,no,yes,428,
10/10/05,B,Average,Okay,Average,Okay,yes,yes,429,
10/21/05,A,High,Bad,Average,Intermediate,no,no,430,
10/30/05,E,Average,Okay,Average,Okay,yes,yes,431,
10/17/05,B,High,Intermediate,Low,Okay,no,no,432,
10/5/05,C,Low,Bad,Average,Bad,no,yes,433,
10/26/05,C,High,Bad,Average,Bad,no,yes,434,
10/11/05,C,Average,Great,Low,Great,no,yes,435,
10/4/05,B,Average,Great,High,Exceptional,no,no,436,
10/4/05,B,Average,Bad,High,Bad,no,yes,437,
10/10/05,B,Average,Great,Average,Bad,yes,no,438,
10/16/05,E,High,Great,High,Bad,yes,no,439,
10/21/05,B,Low,Exceptional,Low,Okay,yes,no,440,
10/21/05,A,High,Bad,Average,Okay,no,no,441,
10/19/05,D,High,Bad,Average,Okay,no,no,442,
10/20/05,A,High,Exceptional,Low,Exceptional,no,yes,443,
10/18/05,E,Average,Bad,Average,Great,yes,no,444,
10/19/05,A,High,Exceptional,Low,Intermediate,no,no,445,
10/8/05,E,Average,Intermediate,High,Bad,no,no,446,
10/30/05,B,High,Great,High,Exceptional,yes,no,447,
10/3/05,A,Average,Exceptional,Low,Bad,no,no,448,
10/30/05,D,High,Great,Low,Great,no,yes,449,
10/24/05,B,Average,Exceptional,Low,Exceptional,no,yes,450,
10/18/05,E,Average,Intermediate,Low,Intermediate,no,yes,451,
10/22/05,B,Average,Okay,Low,Exceptional,no,no,452,
10/1/05,C,Low,Intermediate,Average,Great,no,no,453,
10/23/05,E,High,Okay,Low,Bad,no,no,454,
10/26/05,B,Low,Intermediate,Low,Okay,yes,no,455,
10/17/05,D,Average,Great,Average,Exceptional,yes,no,456,
10/3/05,A,Average,Exceptional,Low,Bad,no,no,457,
10/8/05,C,High,Exceptional,High,Okay,yes,no,458,
10/25/05,B,Average,Okay,Average,Intermediate,yes,no,459,
